Review_ID,Customer_ID,Review_Text,Sentiment_Label,Rating,Service_Type
bdd640fb-0667-4ad1-9c80-317fa3b1799d,23b8c1e9-3924-46de-beb1-3b9046685257,Frustrating worst bad slow bad terrible unhelpful bad terrible unhelpful unhelpful terrible unhelpful frustrating bad frustrating frustrating slow.!!! :( @#$%,Negative,1,Customer Support
c37459ee-f50b-4a63-b71e-cd7b27cd8130,6142ea7d-17be-4111-9a2a-73ed562b0f79,Slow slow terrible bad slow bad worst bad terrible unhelpful worst slow terrible bad unhelpful frustrating worst worst.!!! :( @#$%,Negative,2,Customer Support
47294739-614f-43d7-99db-3ad0ddd1dfb2,5d65a441-d588-42de-a2bc-372f7412b293,Slow terrible terrible worst unhelpful unhelpful terrible frustrating bad slow worst unhelpful unhelpful frustrating worst frustrating terrible bad terrible terrible.!!! :( @#$%,Negative,1,Claim
9132b63e-f162-47e4-a9c3-49e03602f8ac,366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Decent neutral decent average average fine average fine neutral decent average neutral fine okay okay okay fine not bad decent okay decent neutral fine neutral neutral okay not bad not bad fine average.... ??? ###,Neutral,3,Claim
4b22d308-1c8e-4ee9-9715-bd6fa4161293,00d4af59-7427-4ca3-a87d-06ca6f4cc69a,Worst frustrating unhelpful bad unhelpful worst unhelpful terrible slow bad worst worst worst unhelpful slow bad slow worst frustrating terrible terrible unhelpful bad.!!! :( @#$%,Negative,1,Customer Support
11b7e948-d0e6-4660-bc69-dee1bb5e4bcf,c40db9b4-885f-4e66-82b6-d2c5fa5d3100,Bad slow unhelpful terrible worst slow terrible unhelpful frustrating terrible terrible worst unhelpful slow unhelpful bad terrible slow unhelpful.!!! :( @#$%,Negative,1,Policy Purchase
01d74256-3860-4ab6-96a4-02f23ae8cc93,0f1259e0-a18f-46b6-b535-106e122c9a56,Bad bad terrible unhelpful terrible slow unhelpful frustrating worst unhelpful terrible slow slow bad unhelpful slow slow worst bad unhelpful unhelpful bad.!!! :( @#$%,Negative,1,Claim
dc96925e-ccf3-4171-96dc-8907ba6c34ab,30b187ef-310c-4c00-bfa7-f1041bf90e27,Decent decent average average neutral decent neutral fine okay neutral neutral neutral neutral neutral okay decent average decent okay decent neutral average not bad decent decent neutral neutral fine not bad okay average neutral.... ??? ###,Neutral,3,Customer Support
0f9aea4b-8acd-4e10-bc59-4585944528c0,0cd620c2-0ea2-422b-9048-67babf7b539b,Slow worst unhelpful bad unhelpful worst bad bad worst slow worst unhelpful unhelpful bad bad unhelpful unhelpful terrible terrible frustrating terrible terrible bad unhelpful slow worst worst bad unhelpful unhelpful bad unhelpful unhelpful.!!! :( @#$%,Negative,1,Customer Support
e1805081-5958-4499-aeea-163e21e8ac68,5e9953d2-3e89-4c64-a117-dac3119c4ea3,Great best amazing helpful best helpful great amazing excellent helpful best great great great helpful excellent helpful amazing excellent helpful excellent fast best best.!!! :) $$$,Positive,4,Customer Support
d450281c-6c6f-4633-a260-772317a0df49,5563f616-00e8-4ece-8b49-452d46d483f3,Unhelpful terrible frustrating unhelpful slow bad bad worst worst unhelpful worst unhelpful bad bad terrible worst frustrating worst worst.!!! :( @#$%,Negative,2,Policy Purchase
aabc25fa-3fe1-4e47-ae9b-ec3635c7936c,8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3,Worst frustrating worst terrible bad frustrating terrible slow terrible worst frustrating slow frustrating frustrating terrible bad frustrating slow bad slow terrible worst slow frustrating worst terrible unhelpful slow.!!! :( @#$%,Negative,2,Customer Support
